категория,ПО,роль,лицензия,тип_затрат,требует_расчета_в_деньгах,примечание
Безопасность,Active Directory / LDAP,каталог пользователей,В составе Windows Server,Да,уточнить,Внешняя инфраструктура предприятия
Языки и рантаймы,Go (1.22/1.25),бэкенд-микросервисы,BSD-3 (OSS),Нет (трудозатраты),нет,10 Go-сервисов + shared
Языки и рантаймы,Python 3.12,sim-engine / ai,PSF (OSS),Нет (трудозатраты),нет,
Языки и рантаймы,Node.js 22,фронтенд-сборка,MIT (OSS),Нет,нет,
Языки и рантаймы,pnpm,менеджер пакетов,MIT (OSS),Нет,нет,
Фронтенд,React 18 + react-dom,UI,MIT (OSS),Нет,нет,
Фронтенд,react-router / zustand,роутинг/состояние,MIT (OSS),Нет,нет,
Фронтенд,konva / react-konva,canvas-мнемосхемы,MIT (OSS),Нет,нет,
Фронтенд,antd + @ant-design/icons,UI-библиотека,MIT (OSS),Нет,нет,
Фронтенд,uplot,тренды/графики,MIT (OSS),Нет,нет,
Фронтенд,i18next / react-i18next,интернационализация,MIT (OSS),Нет,нет,
Фронтенд,openapi-fetch,клиент API,MIT (OSS),Нет,нет,
Фронтенд,Vite,сборка,MIT (OSS),Нет,нет,
Фронтенд,TypeScript,типизация,Apache-2.0 (OSS),Нет,нет,
Фронтенд,ESLint / Prettier,линт/формат,MIT (OSS),Нет,нет,
Фронтенд,Vitest / Playwright / Testing Library,тесты,MIT (OSS),Нет,нет,
Фронтенд,msw / husky / lint-staged / openapi-typescript,инструменты,MIT (OSS),Нет,нет,
Бэкенд-библиотеки (Go),pgx/v5,драйвер PG/Picodata,MIT (OSS),Нет,нет,
Бэкенд-библиотеки (Go),go-redis/v9,клиент Radix/Redis,BSD-2 (OSS),Нет,нет,
Бэкенд-библиотеки (Go),nats.go,клиент NATS,Apache-2.0 (OSS),Нет,нет,
Бэкенд-библиотеки (Go),minio-go,клиент S3,Apache-2.0 (OSS),Нет,нет,
Бэкенд-библиотеки (Go),go-ldap/ldap v3,клиент AD,MIT (OSS),Нет,нет,
Бэкенд-библиотеки (Python),FastAPI + uvicorn,веб-фреймворк,MIT (OSS),Нет,нет,
Бэкенд-библиотеки (Python),grpcio / protobuf,gRPC,Apache-2.0 (OSS),Нет,нет,
Бэкенд-библиотеки (Python),prometheus-client,метрики,Apache-2.0 (OSS),Нет,нет,
Бэкенд-библиотеки (Python),numpy,численные расчёты,BSD-3 (OSS),Нет,нет,
Бэкенд-библиотеки (Python),psycopg,Picodata/PG драйвер,LGPL-3 (LGPLv3),Нет (комплаенс),нет,Юридические обязательства (copyleft) - не деньги
Бэкенд-библиотеки (Python),pydantic / pdfplumber / httpx,утилиты,MIT (OSS),Нет,нет,
ИИ,PyTorch,ИИ-расчёты,BSD-3 (OSS),Нет + GPU,нет,Плюс GPU-оборудование/облако
ИИ,scikit-learn,ML,BSD-3 (OSS),Нет,нет,
ИИ,vLLM / Ollama,инференс LLM,Apache-2.0/MIT (OSS),Нет + GPU,нет,GPU-затраты; внимание к лицензиям моделей
ИИ,GPU-хост (NVIDIA),оборудование,Коммерческое,Да,нужен_расчет,Значительные кап/опер. затраты
Инструменты,GitLab CI / Gitea Actions,CI/CD,CE OSS / EE платная,уточнить,уточнить,
Инструменты,Helm,пакетирование K8s,Apache-2.0 (OSS),Нет,нет,
Инструменты,Docker,контейнеризация,Apache-2.0 (OSS),Нет,нет,
Инструменты,golangci-lint / ruff / mypy,статический анализ,OSS,Нет,нет,
Инструменты,Syft,генерация SBOM,Apache-2.0 (OSS),Нет,нет,
Инструменты,go test / playwright,тестирование,OSS,Нет,нет,
